MINISTRY,DEPARTMENT,PRIORITY VACANT POSTS,POST NUMBER,SALARY SCALE,ANNUAL SALARY,RECRUITMENT STATUS,,,,,,,,,,Status 
MOJYCS,DWA,Driver/Messenger ,10091,PSS 2.1,1015000,Awaits Commission Decision ,,,,,,,,,,
MOJYCS,DWA,Programs Manager ,100101,PSL 3.1,2390000,Vacant ,,,,,,,,,,
MOJYCS,DWA,Womens Governance Coordinator ,10079,PSS 5.1,1989000,Occupied (Contract),,,,,,,,,,
MOJYCS,Malvatumauri Council of Chiefs,Maintenance Officer ,100580,PSS 1.1,652000,Vacant ,,,,,,,,,,
MOJYCS,Malvatumauri Council of Chiefs,Policy Development Officer ,100573,PST 2.1,1620000,Vacant ,,,,,,,,,,
MOJYCS,Malvatumauri Council of Chiefs,Ceremonial Officer ,100585,PSS 1.1,652000,Vacant ,,,,,,,,,,
MOJYCS,Youth & Sports ,Torba Sports Development Officer ,3613,PSO 4.1,1321000,Vacant ,,,,,,,,,,
MOJYCS,Youth & Sports ,Malampa Sports Development Officer ,3617,PSO 4.1,1321000,Vacant ,,,,,,,,,,
MOJYCS,Youth & Sports ,Senior Sports Training And Coordination Offier ,3604,PST 2.6,2114000,Filled,,,,,,,,,,
MOET,ESD,Curriculum Coordinator ,5400333,PO 6.3 ,2042700,Vacant ,,,,,,,,,,
MOET,ESD,Numeracy Coordinator ,54003344,PS 6.1 ,1906500,Vacant ,,,,,,,,,,
MOET,ESD,Literacy Coordinator ,54003346,PS 6.1 ,1906500,Vacant ,,,,,,,,,,
MOET,ESD,Literacy Officer ,54003347,PS 5.4 ,1694700,Vacant ,,,,,,,,,,
MOET,ESD,Desktop Publisher ,54003442,PS 5.1 ,1513100,Vacant ,,,,,,,,,,
MOET,ESD,Executive Secretary ,54003020,PS 4.3 ,1291200,Vacant ,,,,,,,,,,
MOET,ESD,Senior Secondary School Examination Office ,54003355,PS 7.1 ,2202300,Vacant ,,,,,,,,,,
MOET,ESD,Senior Secondary School Examination Office ,54003356,PS 6.1 ,1906500,Vacant ,,,,,,,,,,
MOET,ESD,Senior Secondary School Examination Office ,54003357,PS 6.1 ,1906500,Vacant ,,,,,,,,,,
MOET,ESD,Junior Secondary School Examination Office ,54003359,PO 6.3 ,2042700,Vacant ,,,,,,,,,,
MOET,ESD,School Improvement Officer ,54003322,PS 6.1 ,1906500,Vacant ,,,,,,,,,,
MOET,ESD,Primary Education Officer ,54003309,PS 5.1 ,1513100,Vacant ,,,,,,,,,,
MOET,ESD,TVET Coordinator ,54003315,PO 6.3 ,2042700,Vacant ,,,,,,,,,,
MOET,ESD,Provincial Maintenance Officer ,54003386,PS 4.1 ,1195500,Vacant ,,,,,,,,,,
MOET,ESD,Provincial Pre-School Coordinator ,54003405,PS 5.6 ,1815700,Vacant ,,,,,,,,,,
